Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Leonardo Pisculichi,Attacking Midfield,21,Argentinos,Argentine Primera Division,RCD Mallorca,La Liga,2005-2006,1750000,3000000
Lima,Centre-Forward,23,Atletico-PR,Campeonato Brasileiro Serie A,Ittihad,Saudi Professional League,2005-2006,200000,4500000
Lisandro Lopez,Centre-Forward,22,Racing Club,Argentine Primera Division,FC Porto,Liga NOS,2005-2006,5500000,2300000
Lorik Cana,Centre-Back,22,Paris SG,Ligue 1,Marseille,Ligue 1,2005-2006,2800000,4000000
Luca Toni,Centre-Forward,28,US Palermo,Serie A,Fiorentina,Serie A,2005-2006,15000000,10000000
Lucho Gonzalez,Central Midfield,24,River Plate,Argentine Primera Division,FC Porto,Liga NOS,2005-2006,6000000,10250000
Luciano Galletti,Right Winger,25,Real Zaragoza,La Liga,Atletico Madrid,La Liga,2005-2006,2000000,2500000
Luis Fabiano,Centre-Forward,24,FC Porto,Liga NOS,Sevilla FC,La Liga,2005-2006,10000000,10000000
Luis Garcia,Central Midfield,24,RCD Mallorca,La Liga,Espanyol,La Liga,2005-2006,2500000,3000000
Luis Jimenez,Attacking Midfield,21,Ternana,Serie B,Fiorentina,Serie A,2005-2006,4000000,2500000
Lukas Zelenka,Attacking Midfield,26,Sparta Praha,Czech First League,Manisaspor,Super Lig,2005-2006,2500000,2500000
Maciej Zurawski,Centre-Forward,28,Wisla Krakow,Ekstraklasa,Celtic,Scottish Football League,2005-2006,5000000,3100000
Mads Junker,Centre-Forward,24,Nordsjaelland,Superligaen,Vitesse,Eredivisie,2005-2006,NA,2000000
Mamadou Niang,Centre-Forward,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,2005-2006,5000000,7000000
Maniche,Central Midfield,27,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,18000000,16000000
Manuel Pasqual,Left-Back,23,Arezzo,Serie B,Fiorentina,Serie A,2005-2006,1700000,6000000
Marcus Bent,Centre-Forward,27,Everton,Premier League,Charlton,Premier League,2005-2006,2250000,3000000
Marek Heinz,Centre-Forward,28,Bor. M'gladbach,1.Bundesliga,Galatasaray,Super Lig,2005-2006,1500000,2250000
Marek Jankulovski,Left-Back,28,Udinese Calcio,Serie A,AC Milan,Serie A,2005-2006,20000000,8500000
Marian Had,Centre-Back,23,Zbrojovka Brno,Czech First League,Loko Moscow,Premier Liga,2005-2006,1250000,2000000
Mark Gonzalez,Left Winger,20,Albacete,La Liga 2,Liverpool,Premier League,2005-2006,1500000,2500000
Markus Rosenberg,Centre-Forward,22,Malmo FF,Allsvenskan,AFC Ajax,Eredivisie,2005-2006,5500000,5300000
Martin Andresen,Central Midfield,28,Stabaek IF,Norwegian OBOS-ligaen,SK Brann,Norwegian Eliteserien,2005-2006,1250000,2000000
Martin Kamburov,Centre-Forward,25,Lok. Plovdiv,Bulgarian efbet League ,Al Ahli,Qatar Stars League,2005-2006,2000000,2000000
Martin Petrov,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Atletico Madrid,La Liga,2005-2006,7000000,10000000
Martin Stranzl,Centre-Back,25,VfB Stuttgart,1.Bundesliga,Spartak Moscow,Premier Liga,2005-2006,3500000,4500000
Mateja Kezman,Centre-Forward,26,Chelsea,Premier League,Atletico Madrid,La Liga,2005-2006,13500000,9000000
Maxi Rodriguez,Left Winger,24,Espanyol,La Liga,Atletico Madrid,La Liga,2005-2006,7000000,5000000
Michael Brown,Central Midfield,28,Spurs,Premier League,Fulham,Premier League,2005-2006,3000000,2300000
Michael Essien,Defensive Midfield,22,Olympique Lyon,Ligue 1,Chelsea,Premier League,2005-2006,45000000,38000000
Michael Owen,Centre-Forward,25,Real Madrid,La Liga,Newcastle,Premier League,2005-2006,22000000,25000000
Michele Canini,Centre-Back,20,Atalanta,Serie B,Cagliari Calcio,Serie A,2005-2006,250000,5000000
Miguel,Right-Back,25,Benfica,Liga NOS,Valencia CF,La Liga,2005-2006,15000000,8000000
Miguel √Ångel,Defensive Midfield,26,Malaga CF,La Liga,Real Betis,La Liga,2005-2006,2000000,2000000
Mikael Forssell,Centre-Forward,24,Chelsea,Premier League,Birmingham,Premier League,2005-2006,7000000,4500000
Mike Hanke,Centre-Forward,21,FC Schalke 04,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2005-2006,1750000,4000000
Mikel Arteta,Central Midfield,23,Real Sociedad,La Liga,Everton,Premier League,2005-2006,8000000,2800000
Milan Baros,Centre-Forward,23,Liverpool,Premier League,Aston Villa,Premier League,2005-2006,17500000,8840000
Mohamed Sissoko,Defensive Midfield,20,Valencia CF,La Liga,Liverpool,Premier League,2005-2006,4000000,12000000
Mohamed Zidan,Second Striker,23,FC Midtjylland,Superligaen,Werder Bremen,1.Bundesliga,2005-2006,3000000,3000000
Morten Skoubo,Centre-Forward,25,Brondby IF,Superligaen,Real Sociedad,La Liga,2005-2006,1250000,2500000
Moumouni Dagano,Centre-Forward,24,Guingamp,Ligue 2,FC Sochaux,Ligue 1,2005-2006,2500000,3000000
Mozart,Defensive Midfield,25,Reggina,Serie A,Spartak Moscow,Premier Liga,2005-2006,5000000,4500000
Naldo,Centre-Back,22,Juventude,Campeonato Brasileiro Serie A,Werder Bremen,1.Bundesliga,2005-2006,2750000,2400000
Nathan Ellington,Centre-Forward,24,Wigan,Premier League,West Brom,Premier League,2005-2006,2250000,4500000
Nemanja Vidic,Centre-Back,24,Spartak Moscow,Premier Liga,Man Utd,Premier League,2005-2006,8500000,10500000
Nicolas Frutos,Centre-Forward,24,Independiente,Argentine Primera Division,RSC Anderlecht,Jupiler Pro League,2005-2006,3000000,2500000
Nolberto Solano,Right Midfield,31,Aston Villa,Premier League,Newcastle,Premier League,2005-2006,5000000,2250000
Nunes,Centre-Back,28,Braga,Liga NOS,RCD Mallorca,La Liga,2005-2006,1500000,2500000
Nuno Espirito Santo,Goalkeeper,31,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,2500000,2500000
Nuno Valente,Left-Back,30,FC Porto,Liga NOS,Everton,Premier League,2005-2006,5000000,2000000
Ognjen Koroman,Right Winger,26,KS Samara,Premier Liga,Akhmat Grozny,Premier Liga,2005-2006,NA,2000000
Pablo Garcia,Defensive Midfield,28,CA Osasuna,La Liga,Real Madrid,La Liga,2005-2006,4250000,4000000
Pablo Zabaleta,Right-Back,20,San Lorenzo,Argentine Primera Division,Espanyol,La Liga,2005-2006,NA,3500000
Pascal Feindouno,Right Winger,24,G. Bordeaux,Ligue 1,Saint-Etienne,Ligue 1,2005-2006,4000000,3000000
Patrice Evra,Left-Back,24,Monaco,Ligue 1,Man Utd,Premier League,2005-2006,6500000,8000000
Patrick Muller,Centre-Back,29,FC Basel,Swiss Super League,Olympique Lyon,Ligue 1,2005-2006,3000000,3800000
Patrick Owomoyela,Right-Back,25,Arm. Bielefeld,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,3250000,2000000
Patrick Vieira,Defensive Midfield,29,Arsenal,Premier League,Juventus,Serie A,2005-2006,35000000,20000000
Paul Konchesky,Left-Back,24,Charlton,Premier League,West Ham,Premier League,2005-2006,3500000,2250000
Paul Scharner,Centre-Back,25,SK Brann,Norwegian Eliteserien,Wigan,Premier League,2005-2006,3000000,3670000
Pavel Pogrebnyak,Centre-Forward,22,Spartak Moscow,Premier Liga,Tom Tomsk,Premier Liga,2005-2006,50000,2000000
Pepe Reina,Goalkeeper,22,Villarreal CF,La Liga,Liverpool,Premier League,2005-2006,4500000,9800000
Per Kroldrup,Centre-Back,25,Udinese Calcio,Serie A,Everton,Premier League,2005-2006,7000000,6800000
Per Kroldrup,Centre-Back,26,Everton,Premier League,Fiorentina,Serie A,2005-2006,7250000,4000000
Peter Crouch,Centre-Forward,24,Southampton,English Championship,Liverpool,Premier League,2005-2006,10500000,10500000
Phil Neville,Right-Back,28,Man Utd,Premier League,Everton,Premier League,2005-2006,5000000,5300000
Quincy Owusu-Abeyie,Left Winger,19,Arsenal,Premier League,Spartak Moscow,Premier Liga,2005-2006,750000,2500000
Rabiu Afolabi,Centre-Back,25,Austria Vienna,Austrian Bundesliga,FC Sochaux,Ligue 1,2005-2006,3800000,2000000
Rafael van der Vaart,Attacking Midfield,22,AFC Ajax,Eredivisie,Hamburger SV,1.Bundesliga,2005-2006,8000000,5100000
Rafinha,Right-Back,19,Coritiba FC,Campeonato Brasileiro Serie A,FC Schalke 04,1.Bundesliga,2005-2006,4500000,5000000
Reinaldo,Centre-Forward,26,Paris SG,Ligue 1,Kashiwa Reysol,J1 League,2005-2006,4000000,4000000
Riccardo Montolivo,Defensive Midfield,20,Atalanta,Serie B,Fiorentina,Serie A,2005-2006,5000000,5500000
Robert Earnshaw,Centre-Forward,24,West Brom,Premier League,Norwich,English Championship,2005-2006,5300000,4130000
Robinho,Left Winger,21,Santos FC,Campeonato Brasileiro Serie A,Real Madrid,La Liga,2005-2006,25000000,24000000
Ron Vlaar,Centre-Back,20,AZ Alkmaar,Eredivisie,Feyenoord,Eredivisie,2005-2006,1500000,2500000
Ruslan Rotan,Central Midfield,23,Dnipro,Premier Liga,Dynamo Kyiv,Premier Liga,2005-2006,NA,4200000
Santiago Solari,Left Midfield,28,Real Madrid,La Liga,Inter,Serie A,2005-2006,7000000,2000000
Santos,Centre-Forward,26,FC Sochaux,Ligue 1,Toulouse,Ligue 1,2005-2006,6500000,3000000
Sasa Ilic,Central Midfield,27,Partizan,SuperLiga,Galatasaray,Super Lig,2005-2006,3000000,2000000
Scott Parker,Central Midfield,24,Chelsea,Premier League,Newcastle,Premier League,2005-2006,11000000,9000000
Sebastian Taborda,Centre-Forward,24,Defensor,Uruguayan Primera DivisiÛn,Dep. La Coruna,La Liga,2005-2006,NA,3000000
Sebastien Mazure,Centre-Forward,26,SM Caen,Ligue 2,Saint-Etienne,Ligue 1,2005-2006,3000000,2000000
Sergey Semak,Central Midfield,29,Paris SG,Ligue 1,FK Moskau,Premier Liga,2005-2006,2500000,3000000
Sergio Ramos,Centre-Back,19,Sevilla FC,La Liga,Real Madrid,La Liga,2005-2006,27000000,27000000
Shaun Wright-Phillips,Right Winger,23,Man City,Premier League,Chelsea,Premier League,2005-2006,9500000,31500000
Shinji Ono,Attacking Midfield,26,Feyenoord,Eredivisie,Urawa Reds,J1 League,2005-2006,3750000,2500000
Shunsuke Nakamura,Attacking Midfield,27,Reggina,Serie A,Celtic,Scottish Football League,2005-2006,2500000,4200000
Simon Davies,Right Midfield,25,Spurs,Premier League,Everton,Premier League,2005-2006,5500000,5250000
Simon Vukcevic,Right Winger,19,Partizan,SuperLiga,Saturn,Premier Liga,2005-2006,4000000,4000000
Slobodan Rajkovic,Centre-Back,16,OFK Beograd,SuperLiga,Chelsea,Premier League,2005-2006,NA,5200000
Soren Larsen,Centre-Forward,23,Djurgarden,Allsvenskan,FC Schalke 04,1.Bundesliga,2005-2006,NA,2300000
Stephen Appiah,Central Midfield,24,Juventus,Serie A,Fenerbahce,Super Lig,2005-2006,6000000,8000000
Stephen Makinwa,Centre-Forward,22,Atalanta,Serie B,US Palermo,Serie A,2005-2006,5000000,7500000
Sylvain Monsoreau,Centre-Back,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,2005-2006,5000000,5000000
Takayuki Suzuki,Centre-Forward,29,Kashima Antlers,J1 League,Red Star,SuperLiga,2005-2006,2500000,2500000
Theo Walcott,Right Winger,16,Southampton,English Championship,Arsenal,Premier League,2005-2006,2500000,10500000
Thiago Silva,Centre-Back,20,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,3500000,3500000
Thimothee Atouba,Left-Back,23,Spurs,Premier League,Hamburger SV,1.Bundesliga,2005-2006,3000000,2500000
Thomas Kahlenberg,Central Midfield,22,Brondby IF,Superligaen,AJ Auxerre,Ligue 1,2005-2006,1500000,5000000
Tiago,Central Midfield,24,Chelsea,Premier League,Olympique Lyon,Ligue 1,2005-2006,10000000,10100000
Timmy Simons,Defensive Midfield,28,Club Brugge,Jupiler Pro League,PSV Eindhoven,Eredivisie,2005-2006,5000000,5000000
Tolga Seyhan,Centre-Back,28,Trabzonspor,Super Lig,Shakhtar D.,Premier Liga,2005-2006,3500000,3750000
Tom Huddlestone,Defensive Midfield,18,Derby,English Championship,Spurs,Premier League,2005-2006,4700000,4700000
Tomas Jun,Second Striker,22,Sparta Praha,Czech First League,Trabzonspor,Super Lig,2005-2006,4000000,3250000
Tomasz Frankowski,Centre-Forward,31,Elche CF,La Liga 2,Wolves,English Championship,2005-2006,3750000,2000000
Torsten Frings,Defensive Midfield,28,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,9000000,5000000
Valerien Ismael,Centre-Back,29,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2005-2006,8500000,8500000
Valon Behrami,Defensive Midfield,20,Genoa,Serie C,Lazio,Serie A,2005-2006,500000,6000000
Vikash Dhorasoo,Central Midfield,31,AC Milan,Serie A,Paris SG,Ligue 1,2005-2006,4000000,3200000
Vladimir Bystrov,Right Midfield,21,Zenit S-Pb,Premier Liga,Spartak Moscow,Premier Liga,2005-2006,3300000,4000000
Walter Samuel,Centre-Back,27,Real Madrid,La Liga,Inter,Serie A,2005-2006,17000000,16000000
Wayne Routledge,Left Winger,20,Crystal Palace,English Championship,Spurs,Premier League,2005-2006,2250000,3000000
Wesley Sonck,Centre-Forward,26,AFC Ajax,Eredivisie,Bor. M'gladbach,1.Bundesliga,2005-2006,3500000,2500000
Wilfred Bouma,Left-Back,27,PSV Eindhoven,Eredivisie,Aston Villa,Premier League,2005-2006,5000000,4700000
Yakubu Aiyegbeni,Centre-Forward,22,Portsmouth,Premier League,Middlesbrough,Premier League,2005-2006,9500000,9750000
Yasser Al-Qahtani,Centre-Forward,22,Al Qadisiyah,Saudi Professional League,Hilal,Saudi Professional League,2005-2006,NA,6000000
Yaya Toure,Central Midfield,22,Metalurh D.,Premier Liga,Olympiacos,Super League Souroti,2005-2006,2000000,2700000
Yossi Benayoun,Right Winger,25,Racing,La Liga,West Ham,Premier League,2005-2006,4000000,3750000
Young-pyo Lee,Left-Back,28,PSV Eindhoven,Eredivisie,Spurs,Premier League,2005-2006,4000000,2000000
Abdoulaye Faye,Centre-Back,28,Lens,Ligue 1,Bolton,Premier League,2006-2007,2400000,3000000
Adrian Mutu,Centre-Forward,27,Juventus,Serie B,Fiorentina,Serie A,2006-2007,11000000,8000000
Afonso Alves,Centre-Forward,25,Malmo FF,Allsvenskan,Heerenveen,Eredivisie,2006-2007,4500000,4500000
Ailton,Centre-Forward,22,Orgryte,Superettan,FC Copenhagen,Superligaen,2006-2007,1000000,3000000
Alejandro Dominguez,Attacking Midfield,25,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,7000000,7000000
Aleksandar Lukovic,Centre-Back,23,Red Star,SuperLiga,Udinese Calcio,Serie A,2006-2007,3000000,2700000
Aleksandr Kerzhakov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Sevilla FC,La Liga,2006-2007,7500000,5000000
Alex Frei,Centre-Forward,26,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,2006-2007,10000000,4100000
Alexis Sanchez,Left Winger,17,Cobreloa,Chilean Primera DivisiÛn,Udinese Calcio,Serie A,2006-2007,50000,3000000
Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,5000000,6250000
Alvaro Arbeloa,Right-Back,24,Dep. La Coruna,La Liga,Liverpool,Premier League,2006-2007,1300000,3900000
Amara Diane,Right Winger,23,R. Strasbourg,Ligue 2,Paris SG,Ligue 1,2006-2007,3000000,3000000
Amauri,Centre-Forward,26,Chievo Verona,Serie A,US Palermo,Serie A,2006-2007,4000000,8750000
Amdy Faye,Defensive Midfield,29,Newcastle,Premier League,Charlton,Premier League,2006-2007,2500000,3000000
Anatoliy Tymoshchuk,Defensive Midfield,27,Shakhtar D.,Premier Liga,Zenit S-Pb,Premier Liga,2006-2007,6000000,14500000
Andre Ooijer,Centre-Back,32,PSV Eindhoven,Eredivisie,Blackburn,Premier League,2006-2007,2500000,3000000
Andreas Hinkel,Right-Back,24,VfB Stuttgart,1.Bundesliga,Sevilla FC,La Liga,2006-2007,4000000,4000000
Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Man City,Premier League,2006-2007,6000000,3000000
Andriy Shevchenko,Centre-Forward,29,AC Milan,Serie A,Chelsea,Premier League,2006-2007,51000000,43300000
Andy Johnson,Centre-Forward,25,Crystal Palace,English Championship,Everton,Premier League,2006-2007,11000000,11000000
Andy Reid,Left Midfield,23,Spurs,Premier League,Charlton,Premier League,2006-2007,5700000,4200000
Angelos Charisteas,Centre-Forward,26,AFC Ajax,Eredivisie,Feyenoord,Eredivisie,2006-2007,4000000,2500000
Anthony Stokes,Centre-Forward,18,Arsenal,Premier League,Sunderland,English Championship,2006-2007,100000,3000000
Arouna Kone,Centre-Forward,22,Roda JC,Eredivisie,PSV Eindhoven,Eredivisie,2006-2007,6000000,9000000
Arthur Boka,Left-Back,23,R. Strasbourg,Ligue 2,VfB Stuttgart,1.Bundesliga,2006-2007,2350000,3000000
Ashley Cole,Left-Back,25,Arsenal,Premier League,Chelsea,Premier League,2006-2007,17000000,7400000
Ashley Young,Left Midfield,21,Watford,Premier League,Aston Villa,Premier League,2006-2007,6500000,13200000
Asier del Horno,Left-Back,25,Chelsea,Premier League,Valencia CF,La Liga,2006-2007,12000000,7500000
Benni McCarthy,Centre-Forward,28,FC Porto,Liga NOS,Blackburn,Premier League,2006-2007,6000000,3700000
Benoit Assou-Ekotto,Left-Back,22,Lens,Ligue 1,Spurs,Premier League,2006-2007,2800000,5000000
Benoit Pedretti,Defensive Midfield,25,Olympique Lyon,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,6000000,5000000
Bernardo Corradi,Centre-Forward,30,Valencia CF,La Liga,Man City,Premier League,2006-2007,4000000,3000000
Boako Jankovic,Right Winger,22,Red Star,SuperLiga,RCD Mallorca,La Liga,2006-2007,5000000,3000000
Bolivar,Centre-Back,25,Internacional,Campeonato Brasileiro Serie A,Monaco,Ligue 1,2006-2007,NA,3000000
Boubacar Sanogo,Centre-Forward,23,1.FC K'lautern,2.Bundesliga,Hamburger SV,1.Bundesliga,2006-2007,4000000,3800000
Calum Davenport,Centre-Back,24,Spurs,Premier League,West Ham,Premier League,2006-2007,1500000,4200000
Cameron Jerome,Centre-Forward,19,Cardiff,English Championship,Birmingham,English Championship,2006-2007,5000000,4450000
Caner Erkin,Left-Back,18,Manisaspor,Super Lig,CSKA Moscow,Premier Liga,2006-2007,4000000,4000000
Cani,Attacking Midfield,24,Real Zaragoza,La Liga,Villarreal CF,La Liga,2006-2007,11000000,11000000
Carlos Tevez,Second Striker,22,Corinthians,Campeonato Brasileiro Serie A,West Ham,Premier League,2006-2007,15000000,14600000
Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,Premier League,2006-2007,3000000,3000000
Celsinho,Attacking Midfield,17,Portuguesa,Campeonato Brasileiro Serie A,Loko Moscow,Premier Liga,2006-2007,5000000,5000000
Christian Maggio,Right-Back,24,Fiorentina,Serie A,Sampdoria,Serie A,2006-2007,800000,3000000
Christian Wilhelmsson,Right Winger,26,RSC Anderlecht,Jupiler Pro League,FC Nantes,Ligue 1,2006-2007,7000000,3300000
Claude Davis,Centre-Back,27,Preston NE,English Championship,Sheffield Utd.,Premier League,2006-2007,300000,3500000
Clint Dempsey,Second Striker,23,Revolution,MLS,Fulham,Premier League,2006-2007,1000000,3000000
Correa,Defensive Midfield,25,Palmeiras,Campeonato Brasileiro Serie A,Dynamo Kyiv,Premier Liga,2006-2007,NA,3200000
Costinha,Defensive Midfield,31,Dinamo Moscow,Premier Liga,Atletico Madrid,La Liga,2006-2007,15000000,6000000
Craig Bellamy,Left Winger,26,Blackburn,Premier League,Liverpool,Premier League,2006-2007,9000000,9000000
Cribari,Centre-Back,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000,3000000
Cristian Ledesma,Central Midfield,23,Lecce,Serie B,Lazio,Serie A,2006-2007,9000000,5300000
Damien Duff,Right Midfield,27,Chelsea,Premier League,Newcastle,Premier League,2006-2007,15000000,15500000
Daniel Montenegro,Attacking Midfield,27,Saturn,Premier Liga,Independiente,Argentine Primera Division,2006-2007,NA,3500000
Daniel Moreira,Second Striker,28,Toulouse,Ligue 1,Stade Rennais,Ligue 1,2006-2007,7000000,5500000
Daniel Niculae,Centre-Forward,23,Rapid Bucharest,Liga 1,AJ Auxerre,Ligue 1,2006-2007,3300000,3300000
Daniel Van Buyten,Centre-Back,28,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2006-2007,14000000,8000000
Daniele Bonera,Centre-Back,25,Parma,Serie A,AC Milan,Serie A,2006-2007,6000000,3300000
David Cotterill,Right Winger,18,Bristol City,English League One,Wigan,Premier League,2006-2007,400000,3200000
David Odonkor,Right Winger,22,Bor. Dortmund,1.Bundesliga,Real Betis,La Liga,2006-2007,4500000,6500000
David Pizarro,Central Midfield,26,Inter,Serie A,AS Roma,Serie A,2006-2007,8000000,13000000
Deivid,Centre-Forward,26,Sporting CP,Liga NOS,Fenerbahce,Super Lig,2006-2007,3500000,4500000
Denilson,Defensive Midfield,18,Sao Paulo,Campeonato Brasileiro Serie A,Arsenal,Premier League,2006-2007,NA,5000000
Denny Landzaat,Central Midfield,30,AZ Alkmaar,Eredivisie,Wigan,Premier League,2006-2007,7000000,4400000
Didier Zokora,Defensive Midfield,25,Saint-Etienne,Ligue 1,Spurs,Premier League,2006-2007,12500000,12350000
Diego,Attacking Midfield,21,FC Porto,Liga NOS,Werder Bremen,1.Bundesliga,2006-2007,8000000,6000000
Diego Lugano,Centre-Back,25,Sao Paulo,Campeonato Brasileiro Serie A,Fenerbahce,Super Lig,2006-2007,3750000,7500000
Diego Milito,Centre-Forward,27,Genoa,Serie B,Real Zaragoza,La Liga,2006-2007,6000000,5000000
Diego Rivas,Central Midfield,26,Getafe CF,La Liga,Real Sociedad,La Liga,2006-2007,1500000,3500000
Dimitar Berbatov,Centre-Forward,25,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2006-2007,17000000,15700000
Dirk Kuyt,Right Winger,26,Feyenoord,Eredivisie,Liverpool,Premier League,2006-2007,17250000,18000000
Djimi Traore,Centre-Back,26,Liverpool,Premier League,Charlton,Premier League,2006-2007,2500000,2800000
Dodo,Centre-Forward,32,Botafogo,Campeonato Brasileiro Serie A,Al-Ain FC,UAE Pro-League,2006-2007,NA,4500000
Ederson,Attacking Midfield,20,Juventude,Campeonato Brasileiro Serie A,OGC Nice,Ligue 1,2006-2007,1500000,7500000
